target,prediction_scaled,prediction,flag,roll_id,row_index
66.6,66.6,66.6,input,0,165
66.41,66.41,66.41,input,0,166
66.27,66.27,66.27,input,0,167
66.12,66.12,66.12,input,0,168
65.96,65.96,65.96,input,0,169
65.83,65.83,65.83,input,0,170
65.7,65.7,65.7,input,0,171
65.71,65.71,65.71,input,0,172
66.13,66.13,66.13,input,0,173
66.18,66.18,66.18,input,0,174
66.15,66.15,66.15,input,0,175
66.09,66.09,66.09,input,0,176
66.01,66.01,66.01,input,0,177
65.92,65.92,65.92,input,0,178
65.82,65.82,65.82,input,0,179
65.72,65.72,65.72,input,0,180
65.61,65.61,65.61,input,0,181
65.56,65.56,65.56,input,0,182
65.55,65.55,65.55,input,0,183
65.47,65.47,65.47,input,0,184
65.42,65.42,65.42,input,0,185
65.35,65.35,65.35,input,0,186
65.26,65.26,65.26,input,0,187
65.16,65.16,65.16,input,0,188
65.05,65.05,65.05,input,0,189
64.93,64.93,64.93,input,0,190
64.8,64.8,64.8,input,0,191
64.68,64.68,64.68,input,0,192
64.78,64.78,64.78,input,0,193
64.98,64.98,64.98,input,0,194
65.0,65.0,65.0,input,0,195
64.97,64.97,64.97,input,0,196
64.9,64.9,64.9,input,0,197
64.82,64.82,64.82,input,0,198
64.78,64.78,64.78,input,0,199
64.86,64.86,64.86,input,0,200
64.85,64.85,64.85,input,0,201
64.8,64.8,64.8,input,0,202
64.73,64.73,64.73,input,0,203
64.67,64.67,64.67,input,0,204
64.59,64.59,64.59,input,0,205
64.5,64.5,64.5,input,0,206
64.42,64.42,64.42,input,0,207
64.35,64.35,64.35,input,0,208
64.25,64.25,64.25,input,0,209
64.15,64.15,64.15,input,0,210
64.04,64.04,64.04,input,0,211
63.92,63.92,63.92,input,0,212
63.79,63.79,63.79,input,0,213
63.66,63.66,63.66,input,0,214
63.51,63.51,63.51,input,0,215
63.35,63.35,63.35,input,0,216
63.19,63.19,63.19,input,0,217
62.98,62.98,62.98,input,0,218
62.79,62.79,62.79,input,0,219
63.54,63.54,63.54,input,0,220
65.22,65.22,65.22,input,0,221
66.34,66.34,66.34,input,0,222
66.75,66.75,66.75,input,0,223
66.96,66.96,66.96,input,0,224
66.89,66.89,66.89,input,0,225
66.73,66.73,66.73,input,0,226
66.54,66.54,66.54,input,0,227
68.65,68.65,68.65,input,0,228
70.05,70.05,70.05,input,0,229
70.34,70.34,70.34,input,0,230
70.24,70.24,70.24,input,0,231
70.01,70.01,70.01,input,0,232
69.7,69.7,69.7,input,0,233
69.46,69.46,69.46,input,0,234
69.32,69.32,69.32,input,0,235
69.12,69.12,69.12,input,0,236
68.84,68.84,68.84,input,0,237
68.43,68.43,68.43,input,0,238
68.0,68.0,68.0,input,0,239
67.67,67.67,67.67,input,0,240
67.21,67.21,67.21,input,0,241
66.74,66.74,66.74,input,0,242
66.24,66.24,66.24,input,0,243
65.7,65.7,65.7,input,0,244
65.07,65.07,65.07,input,0,245
64.37,64.37,64.37,input,0,246
63.63,63.63,63.63,input,0,247
62.94,62.94,62.94,input,0,248
62.37,62.37,62.37,input,0,249
62.03,62.03,62.03,input,0,250
62.01,62.01,62.01,input,0,251
62.02,62.02,62.02,input,0,252
62.04,62.04,62.04,input,0,253
62.05,62.05,62.05,input,0,254
62.05,62.05,62.05,input,0,255
62.04,62.04,62.04,input,0,256
62.03,62.03,62.03,input,0,257
62.03,62.03,62.03,input,0,258
62.03,62.03,62.03,input,0,259
62.05,62.05,62.05,input,0,260
62.07,62.07,62.07,input,0,261
62.06,62.06,62.06,input,0,262
62.06,62.06,62.06,input,0,263
62.05,62.05,62.05,input,0,264
62.05,62.05,62.05,input,0,265
62.05,62.05,62.05,input,0,266
62.07,62.07,62.07,input,0,267
62.06,62.06,62.06,input,0,268
62.05,62.05,62.05,input,0,269
62.05,62.05,62.05,input,0,270
62.04,62.04,62.04,input,0,271
62.04,62.04,62.04,input,0,272
62.04,62.04,62.04,input,0,273
62.04,62.04,62.04,input,0,274
62.04,62.04,62.04,input,0,275
62.04,62.04,62.04,input,0,276
62.05,62.05,62.05,input,0,277
62.07,62.07,62.07,input,0,278
62.07,62.07,62.07,input,0,279
62.05,62.05,62.05,input,0,280
62.07,62.07,62.07,input,0,281
62.07,62.07,62.07,input,0,282
62.06,62.06,62.06,input,0,283
