target,prediction,flag,roll_id,row_index
62.08,62.08,input,0,674
62.06,62.06,input,0,675
62.07,62.07,input,0,676
62.09,62.09,input,0,677
62.1,62.1,input,0,678
62.1,62.1,input,0,679
62.1,62.1,input,0,680
62.09,62.09,input,0,681
62.09,62.09,input,0,682
62.09,62.09,input,0,683
62.08,62.08,input,0,684
62.09,62.09,input,0,685
62.08,62.08,input,0,686
62.07,62.07,input,0,687
62.05,62.05,input,0,688
62.08,62.08,input,0,689
62.09,62.09,input,0,690
62.1,62.1,input,0,691
62.1,62.1,input,0,692
62.1,62.1,input,0,693
62.1,62.1,input,0,694
62.1,62.1,input,0,695
62.1,62.1,input,0,696
62.1,62.1,input,0,697
62.11,62.11,input,0,698
62.11,62.11,input,0,699
62.12,62.12,input,0,700
62.11,62.11,input,0,701
62.12,62.12,input,0,702
62.11,62.11,input,0,703
62.11,62.11,input,0,704
62.11,62.11,input,0,705
62.12,62.12,input,0,706
62.11,62.11,input,0,707
62.11,62.11,input,0,708
62.11,62.11,input,0,709
62.11,62.11,input,0,710
62.13,62.13,input,0,711
62.14,62.14,input,0,712
62.15,62.15,input,0,713
62.15,62.15,input,0,714
62.15,62.15,input,0,715
62.16,62.16,input,0,716
62.15,62.15,input,0,717
62.16,62.16,input,0,718
62.17,62.17,input,0,719
62.14,62.14,input,0,720
62.13,62.13,input,0,721
62.12,62.12,input,0,722
62.11,62.11,input,0,723
62.14,62.14,input,0,724
62.15,62.15,input,0,725
62.13,62.13,input,0,726
62.15,62.15,input,0,727
62.14,62.14,input,0,728
62.2,62.2,input,0,729
62.19,62.19,input,0,730
62.2,62.2,input,0,731
62.18,62.18,input,0,732
62.17,62.17,input,0,733
62.18,62.18,input,0,734
62.18,62.18,input,0,735
62.15,62.15,input,0,736
62.15,62.15,input,0,737
62.19,62.19,input,0,738
62.19,62.19,input,0,739
62.19,62.19,input,0,740
62.16,62.16,input,0,741
62.14,62.14,input,0,742
62.13,62.13,input,0,743
62.15,62.15,input,0,744
62.12,62.12,input,0,745
62.12,62.12,input,0,746
62.15,62.15,input,0,747
62.14,62.14,input,0,748
62.15,62.15,input,0,749
62.14,62.14,input,0,750
62.13,62.13,input,0,751
62.14,62.14,input,0,752
62.15,62.15,input,0,753
62.14,62.14,input,0,754
62.14,62.14,input,0,755
62.12,62.12,input,0,756
62.12,62.12,input,0,757
62.12,62.12,input,0,758
62.12,62.12,input,0,759
62.14,62.14,input,0,760
62.15,62.15,input,0,761
62.12,62.12,input,0,762
62.14,62.14,input,0,763
62.16,62.16,input,0,764
62.16,62.16,input,0,765
62.14,62.14,input,0,766
62.13,62.13,input,0,767
62.14,62.14,input,0,768
62.15,62.15,input,0,769
62.14,62.14,input,0,770
62.13,62.13,input,0,771
62.13,62.13,input,0,772
62.12,62.12,input,0,773
62.11,62.11,input,0,774
62.11,62.11,input,0,775
62.11,62.11,input,0,776
62.11,62.11,input,0,777
62.11,62.11,input,0,778
62.11,62.11,input,0,779
62.11,62.11,input,0,780
62.16,62.16,input,0,781
62.26,62.26,input,0,782
62.36,62.36,input,0,783
62.43,62.43,input,0,784
62.47,62.47,input,0,785
62.56,62.56,input,0,786
