target,prediction,flag,roll_id,row_index
80.45,71.03364562988281,prediction,5,1298
80.56,70.9488525390625,prediction,5,1299
80.61,70.16913604736328,prediction,6,1300
80.61,70.09225463867188,prediction,6,1301
80.59,69.95506286621094,prediction,6,1302
80.55,69.97021484375,prediction,6,1303
80.5,69.88826751708984,prediction,6,1304
80.43,69.77415466308594,prediction,6,1305
80.36,69.72843933105469,prediction,6,1306
80.3,69.5897216796875,prediction,6,1307
80.56,69.53117370605469,prediction,6,1308
80.71,69.43571472167969,prediction,6,1309
80.75,68.56732177734375,prediction,7,1310
80.76,68.48326873779297,prediction,7,1311
80.74,68.36027526855469,prediction,7,1312
80.71,68.36522674560547,prediction,7,1313
80.67,68.2749252319336,prediction,7,1314
81.43,68.16487121582031,prediction,7,1315
82.08,68.11857604980469,prediction,7,1316
82.42,67.99243927001953,prediction,7,1317
83.07,67.9461441040039,prediction,7,1318
83.66,67.84733581542969,prediction,7,1319
83.91,67.00215911865234,prediction,8,1320
84.03,66.94226837158203,prediction,8,1321
85.03,66.84529113769531,prediction,8,1322
85.73,66.82223510742188,prediction,8,1323
85.56,66.72197723388672,prediction,8,1324
85.49,66.64120483398438,prediction,8,1325
85.45,66.60829162597656,prediction,8,1326
85.43,66.52810668945312,prediction,8,1327
85.41,66.475341796875,prediction,8,1328
85.4,66.39871215820312,prediction,8,1329
85.38,65.71382904052734,prediction,9,1330
85.36,65.69091033935547,prediction,9,1331
85.32,65.61700439453125,prediction,9,1332
85.29,65.5707778930664,prediction,9,1333
85.26,65.46757507324219,prediction,9,1334
85.21,65.42263793945312,prediction,9,1335
85.16,65.41168212890625,prediction,9,1336
85.17,65.3836669921875,prediction,9,1337
85.4,65.32068634033203,prediction,9,1338
85.45,65.27803039550781,prediction,9,1339
85.43,64.70094299316406,prediction,10,1340
85.42,64.6944351196289,prediction,10,1341
85.41,64.63948822021484,prediction,10,1342
85.4,64.59137725830078,prediction,10,1343
85.39,64.49864196777344,prediction,10,1344
85.38,64.4776382446289,prediction,10,1345
85.37,64.48262023925781,prediction,10,1346
85.36,64.48284149169922,prediction,10,1347
85.35,64.43220520019531,prediction,10,1348
85.33,64.41381072998047,prediction,10,1349
85.32,63.98158645629883,prediction,11,1350
85.3,63.98175811767578,prediction,11,1351
85.28,63.94911193847656,prediction,11,1352
85.25,63.914493560791016,prediction,11,1353
85.23,63.85397720336914,prediction,11,1354
85.21,63.85232925415039,prediction,11,1355
85.21,63.87497329711914,prediction,11,1356
85.31,63.889984130859375,prediction,11,1357
85.36,63.869354248046875,prediction,11,1358
85.35,63.877342224121094,prediction,11,1359
85.44,63.58644485473633,prediction,12,1360
85.6,63.59177780151367,prediction,12,1361
85.56,63.579715728759766,prediction,12,1362
85.49,63.558650970458984,prediction,12,1363
85.45,63.52981185913086,prediction,12,1364
85.43,63.54557418823242,prediction,12,1365
85.41,63.58368682861328,prediction,12,1366
85.4,63.607242584228516,prediction,12,1367
85.39,63.61517333984375,prediction,12,1368
85.39,63.64596939086914,prediction,12,1369
85.38,63.48399353027344,prediction,13,1370
85.42,63.49501419067383,prediction,13,1371
85.46,63.499935150146484,prediction,13,1372
85.43,63.488502502441406,prediction,13,1373
85.41,63.48604202270508,prediction,13,1374
85.4,63.515804290771484,prediction,13,1375
85.39,63.56608581542969,prediction,13,1376
85.41,63.595001220703125,prediction,13,1377
85.49,63.623504638671875,prediction,13,1378
85.47,63.671939849853516,prediction,13,1379
85.45,63.62335205078125,prediction,14,1380
85.43,63.63955307006836,prediction,14,1381
85.42,63.657352447509766,prediction,14,1382
85.41,63.65209197998047,prediction,14,1383
85.41,63.66923904418945,prediction,14,1384
85.4,63.7091178894043,prediction,14,1385
85.39,63.76778793334961,prediction,14,1386
85.38,63.7992057800293,prediction,14,1387
85.38,63.840171813964844,prediction,14,1388
85.37,63.90043640136719,prediction,14,1389
85.37,63.949859619140625,prediction,15,1390
85.36,63.96883773803711,prediction,15,1391
85.36,63.99540328979492,prediction,15,1392
85.35,63.99504470825195,prediction,15,1393
85.33,64.02603912353516,prediction,15,1394
85.32,64.0716781616211,prediction,15,1395
85.32,64.13485717773438,prediction,15,1396
85.3,64.1650619506836,prediction,15,1397
85.29,64.2128677368164,prediction,15,1398
85.27,64.27925872802734,prediction,15,1399
85.25,64.40306091308594,prediction,16,1400
85.24,64.4202880859375,prediction,16,1401
85.22,64.451171875,prediction,16,1402
85.2,64.45640563964844,prediction,16,1403
85.17,64.49612426757812,prediction,16,1404
85.15,64.54244232177734,prediction,16,1405
85.12,64.60576629638672,prediction,16,1406
85.1,64.6296615600586,prediction,16,1407
85.07,64.68144989013672,prediction,16,1408
85.04,64.74771118164062,prediction,16,1409
85.0,64.90679931640625,prediction,17,1410
84.99,64.91702270507812,prediction,17,1411
85.07,64.94749450683594,prediction,17,1412
85.09,64.9593276977539,prediction,17,1413
85.09,65.00232696533203,prediction,17,1414
85.08,65.04414367675781,prediction,17,1415
85.08,65.10308837890625,prediction,17,1416
85.11,65.11536407470703,prediction,17,1417
85.14,65.16983795166016,prediction,17,1418
85.19,65.22942352294922,prediction,17,1419
85.35,65.37692260742188,prediction,18,1420
85.46,65.37712860107422,prediction,18,1421
85.46,65.4029312133789,prediction,18,1422
85.45,65.4204330444336,prediction,18,1423
85.44,65.46062469482422,prediction,18,1424
85.43,65.49437713623047,prediction,18,1425
85.42,65.54566192626953,prediction,18,1426
85.43,65.54371643066406,prediction,18,1427
85.5,65.59884643554688,prediction,18,1428
85.48,65.64689636230469,prediction,18,1429
85.46,65.74568176269531,prediction,19,1430
85.45,65.73631286621094,prediction,19,1431
85.45,65.75454711914062,prediction,19,1432
85.43,65.77457427978516,prediction,19,1433
85.42,65.80613708496094,prediction,19,1434
85.42,65.83087158203125,prediction,19,1435
85.42,65.87347412109375,prediction,19,1436
85.42,65.858642578125,prediction,19,1437
85.41,65.91093444824219,prediction,19,1438
85.41,65.9457778930664,prediction,19,1439
85.4,65.97544860839844,prediction,20,1440
85.41,65.95912170410156,prediction,20,1441
85.44,65.96859741210938,prediction,20,1442
85.43,65.98731231689453,prediction,20,1443
85.42,66.00623321533203,prediction,20,1444
85.41,66.02300262451172,prediction,20,1445
85.42,66.05777740478516,prediction,20,1446
85.4,66.03392028808594,prediction,20,1447
85.39,66.07989501953125,prediction,20,1448
85.39,66.10264587402344,prediction,20,1449
85.37,66.05755615234375,prediction,21,1450
85.33,66.03755950927734,prediction,21,1451
85.27,66.03861999511719,prediction,21,1452
85.2,66.05282592773438,prediction,21,1453
85.12,66.05774688720703,prediction,21,1454
85.01,66.0686264038086,prediction,21,1455
84.91,66.09747314453125,prediction,21,1456
84.85,66.06918334960938,prediction,21,1457
84.8,66.10677337646484,prediction,21,1458
84.74,66.12025451660156,prediction,21,1459
84.68,66.00773620605469,prediction,22,1460
84.62,65.98735809326172,prediction,22,1461
84.56,65.98148345947266,prediction,22,1462
84.49,65.9892807006836,prediction,22,1463
84.44,65.98129272460938,prediction,22,1464
84.41,65.98889923095703,prediction,22,1465
84.4,66.01419067382812,prediction,22,1466
84.39,65.98590087890625,prediction,22,1467
84.38,66.0146713256836,prediction,22,1468
84.37,66.02266693115234,prediction,22,1469
84.36,65.85923767089844,prediction,23,1470
84.35,65.84124755859375,prediction,23,1471
84.34,65.8306655883789,prediction,23,1472
84.34,65.8315658569336,prediction,23,1473
84.34,65.81351470947266,prediction,23,1474
84.34,65.82046508789062,prediction,23,1475
84.34,65.84458923339844,prediction,23,1476
84.34,65.81988525390625,prediction,23,1477
84.33,65.84088134765625,prediction,23,1478
84.34,65.84724426269531,prediction,23,1479
84.34,65.65288543701172,prediction,24,1480
84.33,65.63896942138672,prediction,24,1481
84.33,65.62614440917969,prediction,24,1482
84.33,65.6209945678711,prediction,24,1483
84.32,65.59673309326172,prediction,24,1484
84.32,65.60513305664062,prediction,24,1485
84.31,65.6301040649414,prediction,24,1486
84.31,65.6111831665039,prediction,24,1487
84.3,65.62657928466797,prediction,24,1488
84.29,65.634521484375,prediction,24,1489
84.28,65.42887878417969,prediction,25,1490
84.28,65.41948699951172,prediction,25,1491
84.29,65.40673828125,prediction,25,1492
84.28,65.39740753173828,prediction,25,1493
84.27,65.37114715576172,prediction,25,1494
84.26,65.38230895996094,prediction,25,1495
84.26,65.40956115722656,prediction,25,1496
84.25,65.39707946777344,prediction,25,1497
84.24,65.40982055664062,prediction,25,1498
84.24,65.42158508300781,prediction,25,1499
84.23,65.22237396240234,prediction,26,1500
84.22,65.21710968017578,prediction,26,1501
84.22,65.20634460449219,prediction,26,1502
84.21,65.19507598876953,prediction,26,1503
84.21,65.1707992553711,prediction,26,1504
84.2,65.18531799316406,prediction,26,1505
84.19,65.21574401855469,prediction,26,1506
84.18,65.20918273925781,prediction,26,1507
84.17,65.22225952148438,prediction,26,1508
84.17,65.23917388916016,prediction,26,1509
84.17,65.06053924560547,prediction,27,1510
84.16,65.05858612060547,prediction,27,1511
84.16,65.05107879638672,prediction,27,1512
84.15,65.03990173339844,prediction,27,1513
84.15,65.0206298828125,prediction,27,1514
84.14,65.03857421875,prediction,27,1515
84.14,65.07254791259766,prediction,27,1516
84.13,65.07070922851562,prediction,27,1517
84.13,65.08644104003906,prediction,27,1518
84.13,65.10897064208984,prediction,27,1519
84.16,64.95960235595703,prediction,28,1520
